Question,Option A,Option B,Option C,Option D,Climate_Ranking_A,Expenses_Ranking_A,Climate_Ranking_B,Expenses_Ranking_B,Climate_Ranking_C,Expenses_Ranking_C,Climate_Ranking_D,Expenses_Ranking_D,Image,Photo Credit
The UK is considering a new energy plan to reduce carbon emissions. Which energy source should you prioritize for the future?,Wind power,Solar power,Natural gas,Coal,2,4,1,3,3,1,4,2,mg01 Matthew Henry,Matthew Henry
"To combat traffic congestion and reduce emissions in India, what transportation policy should you implement?",Subsidize electric car purchases,Expand public transit systems,Encourage carpooling,Widen highways,1,4,2,3,3,2,4,1,mg02 Denys Nevozhai,Denys Nevozhai
Nigeria is facing deforestation. What action should you take?,Implement strict logging bans,Promote sustainable logging practices,Encourage reforestation projects,Offer tax incentives for clearing land,3,4,2,3,1,2,4,1,mg03 gryffyn m,gryffyn m
"China is growing rapidly, leading to increased emissions. What urban planning strategy should you adopt?",Build more highways and parking lots,Invest in public transit and bike lanes,Encourage suburban sprawl,"Promote compact, walkable neighborhoods",4,4,2,2,3,1,1,3,mg04 Stuart Frisby,Stuart Frisby
Your government wants to stimulate green technology development. Where should you allocate funding?,Invest in research on renewable energy,Subsidize fossil fuel industries,Promote energy-efficient building practices,Support the development of clean transportation,1,4,4,3,3,1,2,2,mg05 tyler casey,tyler casey
How should you address carbon emissions from industries in the US?,Implement a carbon tax,Provide subsidies to low-emission industries,Ignore emissions from industry,Set emission reduction targets without penalties,2,4,1,3,3,1,4,2,mg06 Chris LeBoutillier,Chris LeBoutillier
Rising sea levels threaten Costa Rica. What strategy should you prioritize?,Build seawalls and levees,Relocate coastal communities,Ignore the issue,Promote beachfront development,1,3,2,1,3,2,4,1,mg07 Greg Jurgajtis,Greg Jurgajtis
How can you reduce energy consumption in China?,Invest in energy-efficient infrastructure,Encourage energy conservation,Promote energy-intensive industries,Ignore energy efficiency,2,4,1,3,3,1,4,2,mg08 Thomas Kelley,Thomas Kelley
How can you address emissions from agriculture in Bangladesh?,Promote sustainable farming practices,Subsidize farms that use less fertiliser and conserve land,Ignore agriculture's impact on emissions,Encourage deforestation for more farmland,2,4,1,3,3,1,4,2,mg09 Rachel Rychetsky,Rachel Rychetsky
How can you raise awareness about climate change in the US?,Fund climate education programs in schools,Censor climate information,Ignore climate education,Promote climate denial,1,4,4,3,3,1,4,2,mg10 Markus Spiske,Markus Spiske
Australia is experiencing extreme heatwaves due to climate change. How should you respond?,Invest in climate-resilient infrastructure,Encourage indoor cooling systems,Ignore the heatwaves,Promote outdoor activities,2,4,1,3,3,1,4,2,mg11 second sight,second sight
Somalia is susceptible to droughts due to changing climate patterns. What's the best strategy?,Implement water-saving measures,Increase water usage,Ignore the droughts,Promote water-intensive industries,2,4,1,3,3,1,4,2,mg12 redcharlie,redcharlie
South Africa relies heavily on coal for energy. How can you reduce carbon emissions?,Invest in carbon capture and storage technology,Expand coal mining,Ignore coal emissions,Promote coal exports,2,4,1,3,3,1,4,2,mg13 Dominik Vanyi,Dominik Vanyi
Norway faces increased hurricane risks due to climate change. What should you prioritize?,Implement stronger building codes and evacuation plans,Build more beachfront properties,Ignore the hurricane risks,Promote hurricane tourism,2,4,1,3,3,1,4,2,mg14 NASA,NASA
"Bahrain suffers from air pollution, impacting public health. What's the best approach?",Regulate emissions from factories and vehicles,Deregulate industrial emissions,Ignore air pollution,Promote air pollution as an economic driver,2,4,1,3,3,1,4,2,mg15 Joshua Gresham,Joshua Gresham
The UK's energy grid is outdated and inefficient. How should you modernize it?,Invest in a smart grid for efficient energy distribution,Continue using the outdated grid,Ignore the grid's inefficiency,Promote energy-intensive industries to use excess energy,2,4,1,3,3,1,4,2,mg16 NASA,NASA
Gibraltar is at risk of saltwater intrusion due to rising sea levels. What's your plan?,Implement desalination plants and water management,Continue using the outdated grid,Ignore the saltwater intrusion risks,Promote energy-intensive industries to use excess energy,2,4,1,3,3,1,4,2,mg17 NOAA,NOAA
Ghana's agricultural sector is struggling due to climate change. What's your response?,Promote drought-resistant crop varieties,Subsidize water-intensive crops,Ignore the agricultural sector's challenges,Promote deforestation for more farmland,2,4,1,3,3,1,4,2,mg18 Julian Hochgesang,Julian Hochgesang
Vietnam faces frequent flooding due to climate change. What's your top priority?,Invest in flood mitigation infrastructure,Build more roads and parking lots,Ignore the flooding risks,Promote waterfront development,2,4,1,3,3,1,4,2,mg19 Nguyen Kiet,Nguyen Kiet
The US relies heavily on cars with internal combustion engines. How can you reduce emissions from transportation?,Promote electric vehicle adoption,Subsidize gasoline prices,Ignore emissions from transportation,Promote road construction for more cars,2,4,1,3,3,1,4,2,mg20 Oscar Sutton,Oscar Sutton
Tunisia is experiencing beach erosion due to rising sea levels. What's your plan?,Invest in beach nourishment and coastal restoration,Continue using the outdated grid,Ignore the beach erosion issue,Promote energy-intensive industries to use excess energy,2,4,1,3,3,1,4,2,mg21 Gene Gallin,Gene Gallin
Your government is aiming to achieve carbon neutrality. What's yor primary strategy?,Invest in renewable energy projects,Continue relying on fossil fuels with carbon offset projects,Ignore carbon neutrality goals,Subsidize carbon-intensive industries,2,4,1,3,3,1,4,2,,
There's a waste management crisis in Turkey! How should you address it?,Promote recycling and composting programs,Invest in incineration for waste disposal,Ignore waste management issues,Subsidize single-use plastic industries,2,4,1,3,3,1,4,2,,
Greece is facing water scarcity. What's the best approach to conserve water?,Promote excessive water usage,Subsidize water-intensive industries,Ignore water scarcity issues,Implement strict water usage regulations,2,4,1,3,3,1,4,2,,
Russia has significant forest cover. How will you protect it from deforestation?,Invest in carbon capture and storage technology,Expand coal mining,Ignore coal emissions,Promote coal exports,2,4,1,3,3,1,4,2,,
Burundi's transportation system is outdated. What's your priority for improvement?,Subsidize private car ownership,Continue using outdated buses and routes,Improve transportation only within the capital city,Invest in electric buses and modernize routes,4,2,3,1,2,4,1,4,,
Japan faces ocean acidification. How should you address this issue?,Subsidize ocean-polluting industries,Regulate industrial emissions contributing to acidification,Encourage industries to contribute more to acidification,Ignore ocean acidification concerns,4,4,1,3,3,2,2,1,,
Brazil is a major emitter of methane. How can you reduce methane emissions?,Subsidize methane-producing industries,Implement regulations to capture methane at landfills,"Ignore it, who cares?",Kill all the cows,4,4,1,2,3,1,2,3,,
How can you address emissions from agriculture?,Promote sustainable farming practices,Subsidize large-scale industrial farming,Ignore agriculture's impact on emissions,Encourage deforestation for more farmland,2,4,1,3,3,1,4,2,,
How can you reduce energy consumption in Europe?,Invest in energy-efficient infrastructure,Encourage energy conservation,Promote energy-intensive industries,Ignore energy efficiency,2,4,1,3,3,1,4,2,,
You're trying to promote the use of sustainable transportation options in urban areas. How do you do it?,Invest in expanding public transportation networks and make them more affordable for citizens.,Implement congestion pricing to reduce traffic and encourage the use of public transportation.,Create dedicated bike lanes and pedestrian-friendly infrastructure to promote non-motorized transportation.,Offer incentives and tax breaks for electric vehicle adoption and expand charging infrastructure.,1,3,2,1,3,2,4,4,,
